family,params,mae,rmse,status,note
feature_mlp,"{""representation"": ""total"", ""hidden"": [23], ""l2"": 1.846962223200756e-05, ""learning_rate"": 0.0025057187257477684, ""epochs"": 300, ""loss"": ""mse""}",8.053763649680398,8.673601168487018,ok,
feature_mlp,"{""representation"": ""total"", ""hidden"": [31, 51], ""l2"": 0.0020383520828724955, ""learning_rate"": 0.09945911393063674, ""epochs"": 500, ""loss"": ""mse""}",8.169041546908291,9.211958885495662,ok,
feature_mlp,"{""representation"": ""total"", ""hidden"": [37, 58], ""l2"": 0.0023317766741501973, ""learning_rate"": 0.08769738660375286, ""epochs"": 500, ""loss"": ""mse""}",9.097350586544383,10.141528321286868,ok,
feature_mlp,"{""representation"": ""total"", ""hidden"": [21, 21], ""l2"": 0.0012152621852509354, ""learning_rate"": 0.06780227021579836, ""epochs"": 500, ""loss"": ""huber""}",9.337606603449041,10.256904377250153,ok,
feature_mlp,"{""representation"": ""total"", ""hidden"": [56], ""l2"": 0.00022429315533690916, ""learning_rate"": 0.0092238867121695, ""epochs"": 100, ""loss"": ""mse""}",9.367360375144266,10.275738783703344,ok,
feature_mlp,"{""representation"": ""total"", ""hidden"": [31], ""l2"": 1.8172629977159728e-05, ""learning_rate"": 0.01036467329253345, ""epochs"": 500, ""loss"": ""mse""}",9.64506738836115,10.249419941561735,ok,
feature_mlp,"{""representation"": ""total"", ""hidden"": [17, 12], ""l2"": 0.0016961746387291002, ""learning_rate"": 0.002054762512591136, ""epochs"": 500, ""loss"": ""mse""}",9.830408443104137,10.291729875087386,ok,
monotone_mlp,"{""representation"": ""total"", ""hidden"": [38], ""l2"": 0.0005056585404845843, ""learning_rate"": 0.01153197276157744, ""epochs"": 500, ""loss"": ""mse""}",12.559613314541904,13.535873513329689,ok,
monotone_mlp,"{""representation"": ""total"", ""hidden"": [21, 21], ""l2"": 0.0012152621852509354, ""learning_rate"": 0.06780227021579836, ""epochs"": 500, ""loss"": ""huber""}",12.858003096147018,14.097787661967152,ok,
monotone_mlp,"{""representation"": ""total"", ""hidden"": [30], ""l2"": 0.00016410906088360814, ""learning_rate"": 0.008352323122134579, ""epochs"": 500, ""loss"": ""mse""}",12.887156053022904,14.031403666610638,ok,
monotone_mlp,"{""representation"": ""total"", ""hidden"": [23], ""l2"": 1.846962223200756e-05, ""learning_rate"": 0.0025057187257477684, ""epochs"": 300, ""loss"": ""mse""}",13.394176483154297,14.857383079516385,ok,
monotone_mlp,"{""representation"": ""total"", ""hidden"": [39, 17], ""l2"": 0.0022104011489691463, ""learning_rate"": 0.014261606758943524, ""epochs"": 500, ""loss"": ""mse""}",13.697543057528408,15.352586968375364,ok,
monotone_mlp,"{""representation"": ""total"", ""hidden"": [17, 12], ""l2"": 0.0016961746387291002, ""learning_rate"": 0.002054762512591136, ""epochs"": 500, ""loss"": ""mse""}",13.912201968106357,15.712478434818857,ok,
monotone_mlp,"{""representation"": ""total"", ""hidden"": [16, 5, 19], ""l2"": 0.04430788173937543, ""learning_rate"": 0.000903039728888594, ""epochs"": 500, ""loss"": ""huber""}",14.181988802823154,16.17325968257367,ok,
feature_mlp,"{""representation"": ""physical"", ""hidden"": [5, 23, 5], ""l2"": 0.0528864706097109, ""learning_rate"": 0.0036774346621052147, ""epochs"": 500, ""loss"": ""huber""}",14.551630887118252,19.035192824426133,ok,
monotone_mlp,"{""representation"": ""physical"", ""hidden"": [4, 8, 5], ""l2"": 3.0248301110217265e-05, ""learning_rate"": 0.00022708223335487552, ""epochs"": 400, ""loss"": ""mse""}",17.589919697154652,19.882716463571086,ok,
feature_mlp,"{""representation"": ""total"", ""hidden"": [16, 5, 19], ""l2"": 0.04430788173937543, ""learning_rate"": 0.000903039728888594, ""epochs"": 500, ""loss"": ""huber""}",18.10745655406605,22.0912135199393,ok,
monotone_mlp,"{""representation"": ""physical"", ""hidden"": [10, 38], ""l2"": 3.058485169548532e-06, ""learning_rate"": 0.03264635677523523, ""epochs"": 200, ""loss"": ""mse""}",20.10374468023127,24.040206239615898,ok,
monotone_mlp,"{""representation"": ""physical"", ""hidden"": [25, 6, 5], ""l2"": 3.7769545138788986e-05, ""learning_rate"": 0.0012334805700860026, ""epochs"": 500, ""loss"": ""huber""}",20.47675323486328,24.45961785849378,ok,
